DonorKey,Donor Name,Country,Region,Age Band,Acquisition Date,Acquisition ChannelKey,Donor Type,Consent Status
133,Lewis Griffiths-Wells,FI,Uusimaa,30-44,2022-12-09,1,Individual,Full
134,Damien Brookes,,Vestland,60-74,2022-11-10,2,Individual,Email only
135,Geraldine Rogers,SE,Skåne,18-29,2023-12-25,1,Individual,Full
136,Malcolm Smith,SE,Västra Götaland,75+,2023-09-13,3,Individual,Email only
137,Paula Parsons,SE,Västra Götaland,18-29,2025-10-10,2,Individual,Email only
138,Natalie Hill,FI,Uusimaa,45-59,2025-08-28,4,Individual,Full
139,Jake Tomlinson-Wilson,DK,Sjælland,30-44,2025-12-15,6,Trust,Email only
140,Jasmine Greenwood-Edwards,FI,Uusimaa,75+,2022-01-11,1,Individual,Full
141,Dr Frederick Khan,DK,Sjælland,60-74,2025-04-11,2,Individual,Full
142,Ms Donna Horton,NO,Vestland,60-74,2023-11-22,6,Individual,Email only
143,Bethan Foster,NO,Rogaland,30-44,2025-01-04,3,Individual,Full
144,Raymond Owen,NO,Rogaland,45-59,2024-12-28,2,Individual,Email only
145,Louis Phillips,SE,Skåne,60-74,2025-12-07,4,Individual,Full
146,Charles Moore,FI,Pohjois-Pohjanmaa,60-74,2023-03-14,6,Individual,Email only
147,Mark Ellis,FI,Pirkanmaa,45-59,2023-12-26,1,Individual,Full
148,Brenda Lloyd,FI,Pirkanmaa,75+,2024-06-16,3,Individual,Full
149,Dr Linda Butler,NO,Rogaland,60-74,2022-12-24,1,Individual,Email only
150,Mr Raymond Robson,SE,Uppsala,30-44,2022-07-12,5,Individual,Email only
151,Abbie Stone,NO,Rogaland,45-59,2023-11-17,5,Individual,Full
152,Ms Charlotte Elliott,NO,Rogaland,60-74,2023-12-09,1,Individual,Full
153,Mr Mathew Norris,FI,Pohjois-Pohjanmaa,60-74,2022-09-12,1,Individual,Email only
154,Andrew Sharp,FI,Uusimaa,60-74,2022-10-24,1,Individual,Post only
155,Emily Shaw-Curtis,DK,Sjælland,60-74,2024-07-20,2,Individual,Post only
156,Rosemary Hill-Hughes,NO,Oslo,60-74,2025-12-21,2,Individual,Full
157,Charles Vaughan,FI,Varsinais-Suomi,30-44,2024-12-04,6,Individual,Full
158,Joe Ahmed,DK,Sjælland,30-44,2025-12-11,2,Corporate,Full
159,Edward Abbott,FI,Varsinais-Suomi,30-44,2025-05-05,2,Individual,Full
160,Clare Hughes,FI,Varsinais-Suomi,18-29,2024-07-30,2,Individual,Full
161,Jonathan Francis,FI,Pohjois-Pohjanmaa,18-29,2025-10-17,1,Individual,Post only
162,Dr Raymond Gardiner,FI,Uusimaa,18-29,2024-12-23,4,Individual,Full
163,Rebecca Kerr,SE,Stockholm,45-59,2024-12-11,1,Individual,Full
164,Terence Adams-Wood,FI,Varsinais-Suomi,18-29,2025-06-30,1,Individual,Full
165,Ryan Parsons,FI,Pohjois-Pohjanmaa,60-74,2023-09-09,1,Individual,Full
166,Charlotte Jones,FI,Pirkanmaa,30-44,2022-09-11,4,Individual,Full
167,Nicola Walker,FI,Varsinais-Suomi,45-59,2025-10-20,1,Individual,Email only
168,George Barker,SE,Västra Götaland,60-74,2025-08-04,1,Individual,Full
169,Mr Gareth James,DK,Hovedstaden,30-44,2024-09-26,1,Individual,Full
170,Bernard Russell,NO,Trøndelag,45-59,2025-12-29,6,Individual,Full
171,Jacqueline Wilkinson,DK,Syddanmark,45-59,2023-05-26,4,Individual,Full
172,Patricia Dawson,FI,Pohjois-Pohjanmaa,75+,2022-03-09,1,Individual,Full
173,Cameron Gardiner,NO,Trøndelag,45-59,2022-01-13,1,Individual,Email only
174,Andrea James,FI,Varsinais-Suomi,45-59,2024-02-28,2,Individual,Full
175,Bryan Skinner,SE,Uppsala,30-44,2023-04-06,1,Individual,Full
176,Sian Murphy-Shepherd,NO,Rogaland,60-74,2022-05-04,2,Individual,Email only
177,Judith Roberts-Metcalfe,FI,Varsinais-Suomi,30-44,2023-05-20,3,Individual,Full
178,Ms Katy Waters,DK,Hovedstaden,30-44,2023-08-18,5,Individual,Full
179,Mr Jonathan Marshall,NO,Trøndelag,30-44,2022-12-18,1,Individual,Full
180,Mrs Sharon Mills,NO,Oslo,30-44,2023-09-12,2,Individual,Full
181,Dr Eleanor O'Brien,SE,Uppsala,60-74,2025-05-26,3,Individual,Full
182,Nicole Porter,DK,Hovedstaden,45-59,2025-12-15,1,Individual,Full
183,Dr Antony Mason,DK,Sjælland,45-59,2022-04-28,2,Individual,Full
184,Ms Marie Bennett,SE,Västra Götaland,60-74,2023-10-26,1,Individual,Email only
185,Miss Ann Evans,FI,Pohjois-Pohjanmaa,60-74,2023-08-20,1,Individual,Full
186,Pamela Parkin,DK,Syddanmark,30-44,2023-12-17,6,Individual,Full
187,Sylvia May,FI,Varsinais-Suomi,30-44,2025-10-19,6,Individual,Full
188,Louis Young-Hall,FI,Uusimaa,75+,2022-03-31,2,Individual,Full
189,Mr Ben Evans,SE,Skåne,60-74,2025-01-28,5,Individual,Post only
190,Barbara Campbell,NO,Rogaland,45-59,2023-11-15,1,Individual,Email only
191,Mrs Amelia Ward,NO,Trøndelag,75+,2024-12-06,5,Individual,Full
192,Steven Stone,DK,Midtjylland,75+,2023-10-14,1,Individual,Full
193,Dr Samantha Scott,FI,Pohjois-Pohjanmaa,18-29,2023-12-31,1,Individual,Full
194,Maurice Smith,FI,Uusimaa,30-44,2022-01-25,3,Individual,Full
195,Dr Pauline Wright,FI,Pirkanmaa,30-44,2022-12-17,1,Individual,Email only
196,Holly Jones-Ingram,NO,Rogaland,18-29,2023-07-29,2,Individual,Full
197,Mr Gordon Morgan,FI,Uusimaa,75+,2022-06-02,1,Individual,Full
198,Aimee Wood,NO,Oslo,75+,2025-05-19,1,Individual,Full
199,Gary Brown,NO,Rogaland,30-44,2023-06-05,2,Individual,Email only
200,Mr Jake White,SE,Skåne,60-74,2025-11-16,2,Individual,Full
201,Natalie Hicks,FI,Varsinais-Suomi,45-59,2025-09-05,1,Individual,Full
202,Garry Clark-Thomas,FI,Varsinais-Suomi,45-59,2023-09-01,2,Individual,Post only
203,Shirley Mason-Humphreys,SE,Skåne,60-74,2025-12-15,2,Individual,Full
204,Graham Carter,FI,Uusimaa,45-59,2023-11-09,1,Individual,Full
205,Sheila Smith,FI,Pohjois-Pohjanmaa,45-59,2023-12-13,4,Trust,Full
206,Ruth Dodd,NO,Trøndelag,75+,2024-12-20,4,Individual,Full
207,Alexander Atkinson-Jones,SE,Västra Götaland,18-29,2024-06-18,2,Individual,Full
208,Eleanor Fleming,NO,Trøndelag,45-59,2022-12-01,1,Individual,Full
209,Mr Clifford Evans,DK,Midtjylland,30-44,2025-05-13,1,Individual,Full
210,Ms Amber Gray,FI,Pohjois-Pohjanmaa,60-74,2023-03-30,3,Individual,Full
211,Mrs Claire Kennedy,NO,Rogaland,30-44,2025-09-20,1,Individual,Full
212,Mrs Beverley Ferguson,DK,Hovedstaden,30-44,2022-03-14,1,Individual,Email only
213,Dylan Jones,DK,Sjælland,30-44,2022-03-11,2,Individual,Full
214,John Taylor,FI,Varsinais-Suomi,45-59,2024-02-06,1,Individual,Full
215,Adrian Young-Hughes,FI,Varsinais-Suomi,60-74,2023-12-26,3,Individual,Full
216,Marc Storey,FI,Varsinais-Suomi,75+,2022-06-14,1,Individual,Full
217,Stewart Baldwin,FI,Uusimaa,30-44,2024-10-16,2,Individual,Full
218,Margaret Robinson,DK,Sjælland,30-44,2024-05-11,1,Individual,Full
219,Dr Robert Allen,SE,Uppsala,18-29,2024-09-13,3,Individual,Full
220,Vincent Evans,FI,Uusimaa,45-59,2022-10-08,2,Individual,Full
221,Gerard Randall-Willis,FI,Uusimaa,30-44,2023-04-24,2,Individual,Full
222,Mr Vincent Gardner,SE,Stockholm,45-59,2022-10-09,2,Individual,Email only
223,Mohammed Alexander,SE,Västra Götaland,30-44,2022-10-02,2,Individual,Full
224,Kate Pearson,NO,Trøndelag,60-74,2024-12-29,4,Individual,Full
225,Toby Wilson,SE,Stockholm,30-44,2023-12-15,1,Individual,Full
226,Jonathan Rogers,NO,Vestland,75+,2024-08-13,2,Individual,Email only
227,Mr Mitchell Parkin,FI,Pirkanmaa,18-29,2022-07-15,7,Individual,Full
228,Bethan Nicholls,SE,Stockholm,45-59,2025-01-25,4,Individual,Post only
229,Margaret Bennett,FI,Uusimaa,30-44,2023-02-23,1,Corporate,Email only
230,Mr Graham Williams,FI,Varsinais-Suomi,30-44,2025-05-29,3,Individual,Post only
231,Jodie Phillips,FI,Uusimaa,30-44,2025-09-04,4,Individual,Full
232,Miss Sara Cook,FI,Pirkanmaa,18-29,2023-02-17,2,Individual,Full
233,Christian Roberts-Roberts,SE,Västra Götaland,18-29,2022-09-13,2,Individual,Full
234,Robert Morris,FI,Pirkanmaa,45-59,2022-01-27,3,Individual,Full
235,Dr Arthur Chapman,NO,Oslo,60-74,2024-09-03,2,Individual,Full
236,Mrs Kathryn Simpson,FI,Pirkanmaa,30-44,2024-05-28,2,Individual,Full
237,Ms Margaret Fraser,FI,Uusimaa,45-59,2025-11-04,7,Individual,Email only
238,Shane Williams,SE,Stockholm,30-44,2022-11-16,3,Individual,Full
239,Natasha Harris,FI,Uusimaa,60-74,2025-12-10,1,Individual,Post only
240,Dean Lloyd,FI,Varsinais-Suomi,45-59,2025-03-19,7,Individual,Full
241,Philip Ferguson-Clark,FI,Varsinais-Suomi,30-44,2023-12-17,1,Individual,Full
242,Dr Annette Russell,SE,Uppsala,45-59,2024-12-20,5,Corporate,Post only
243,Amber Khan,FI,Varsinais-Suomi,30-44,2022-02-23,3,Individual,Full
244,Miss Marian Wilson,DK,Syddanmark,18-29,2025-09-28,1,Individual,Full
245,Mr Antony Robinson,FI,Varsinais-Suomi,60-74,2023-11-18,1,Individual,Email only
246,Ms Amanda Richardson,,Midtjylland,18-29,2023-12-25,5,Individual,Email only
247,Maurice Higgins-Turner,DK,Hovedstaden,60-74,2023-03-06,5,Individual,Full
248,Dr Kim Kennedy,FI,Varsinais-Suomi,75+,2024-12-25,1,Individual,Full
249,Miss Bethan Hayward,NO,Trøndelag,45-59,2024-12-28,1,Corporate,Full
250,Dr Raymond Clarke,SE,Uppsala,45-59,2025-08-23,2,Individual,Post only
251,Leigh Griffiths-Lewis,SE,Skåne,60-74,2023-05-25,1,Individual,Post only
252,Mr Martyn Clark,,Sjælland,30-44,2023-11-19,2,Individual,Full
253,Ms Katherine Jones,,Skåne,18-29,2024-12-21,2,Individual,Post only
254,Louise Jones,FI,Varsinais-Suomi,60-74,2023-02-16,1,Individual,Full
255,Hazel Shah,FI,Pohjois-Pohjanmaa,30-44,2022-09-26,1,Individual,Full
256,Victor Davies,FI,Uusimaa,30-44,2025-12-30,7,Individual,Full
257,Mr David McDonald,FI,Pirkanmaa,18-29,2023-10-22,2,Individual,Email only
258,Rosie Flynn-Smith,NO,Trøndelag,75+,2025-03-07,1,Individual,Email only
259,Charlene Wheeler,SE,Stockholm,75+,2025-10-03,1,Individual,Full
260,Vanessa Dawson,NO,Vestland,30-44,2025-09-07,3,Individual,Email only
261,Bernard Howe,FI,Pohjois-Pohjanmaa,60-74,2022-11-21,1,Individual,Full
262,Darren Murphy,SE,Västra Götaland,60-74,2024-04-16,1,Individual,Email only
263,Barbara Jones-Cunningham,DK,Sjælland,18-29,2024-06-24,6,Individual,Full
264,Hayley Hurst,SE,Uppsala,30-44,2022-09-05,1,Individual,Post only
265,Sophie Wood,SE,Stockholm,30-44,2025-06-02,4,Trust,Full
266,Rosie Hope,SE,Stockholm,45-59,2022-12-27,3,Individual,Full
267,Bernard Hancock,SE,Skåne,45-59,2024-09-03,4,Individual,Full
268,Jennifer Jordan,NO,Trøndelag,30-44,2023-01-10,2,Individual,Full
269,Suzanne Blackburn,FI,Uusimaa,30-44,2024-09-01,4,Individual,Full
270,Keith Kemp,DK,Midtjylland,60-74,2023-12-05,2,Individual,Full
271,Leigh Saunders,FI,Pirkanmaa,30-44,2024-04-25,4,Individual,Full
272,Mohamed Bailey,SE,Skåne,18-29,2025-02-01,7,Individual,Full
273,Francesca Wright-Marsh,FI,Varsinais-Suomi,60-74,2024-12-13,4,Individual,Email only
274,Dr Julia Ali,SE,Skåne,18-29,2022-12-20,1,Individual,Full
275,Graham Burrows,SE,Uppsala,18-29,2022-06-09,1,Individual,Full
276,Aaron Roberts,NO,Vestland,60-74,2022-04-17,1,Individual,Full
277,Mrs Leanne Turner,FI,Pirkanmaa,60-74,2022-06-03,2,Individual,Full
278,Ms Katy Jackson,SE,Stockholm,45-59,2025-06-28,2,Individual,Full
279,Jake Short-Taylor,FI,Pirkanmaa,75+,2025-01-18,2,Individual,Full
280,Tony Murphy,FI,Uusimaa,75+,2023-11-10,2,Individual,Full
281,Michael Taylor,SE,Skåne,60-74,2023-12-13,3,Corporate,Email only
282,Mr Reece Walker,FI,Uusimaa,18-29,2022-12-23,1,Individual,Email only
283,Tracey Forster,FI,Uusimaa,75+,2024-12-11,6,Individual,Full
284,Jodie Butler,FI,Varsinais-Suomi,45-59,2023-12-02,3,Individual,Full
285,Rosie Shaw,SE,Västra Götaland,60-74,2024-01-11,1,Individual,Full
286,Ruth Ball,SE,Västra Götaland,60-74,2024-09-06,4,Individual,Full
287,Henry Smith,DK,Hovedstaden,45-59,2023-11-24,5,Individual,Full
288,Mr Jordan Fox,NO,Rogaland,60-74,2024-12-02,3,Individual,Full
289,Jane Thomas,SE,Skåne,45-59,2025-09-18,1,Individual,Full
290,Reece Baldwin-Andrews,NO,Rogaland,60-74,2025-10-30,5,Individual,Email only
291,Kimberley Burton,NO,Vestland,75+,2024-04-22,6,Individual,Full
292,Pamela Thomson,FI,Varsinais-Suomi,60-74,2025-11-07,1,Trust,Full
293,Caroline Joyce,SE,Uppsala,60-74,2022-10-17,5,Corporate,Post only
294,Henry Smith,SE,Uppsala,45-59,2023-05-21,1,Individual,Full
295,Miss Rachel Smith,SE,Skåne,30-44,2023-08-18,4,Trust,Full
296,Dr Lucy Mitchell,DK,Syddanmark,45-59,2024-07-08,1,Individual,Full
297,Danielle Brooks,SE,Skåne,45-59,2022-12-09,6,Individual,Full
298,Richard Lord-Smith,,Pohjois-Pohjanmaa,30-44,2025-08-09,4,Individual,Email only
299,Miss Maureen Jackson,FI,Pirkanmaa,30-44,2022-11-15,2,Individual,Full
300,Suzanne Harris,FI,Uusimaa,18-29,2022-09-04,1,Individual,Full
301,Antony Lowe-McCarthy,NO,Vestland,60-74,2022-11-15,5,Individual,Full
302,Gregory Dickinson,SE,Västra Götaland,18-29,2024-08-07,6,Individual,Email only
303,Carole Randall-Edwards,SE,Uppsala,30-44,2023-12-27,2,Individual,Full
304,Abdul Cook,,Pirkanmaa,45-59,2025-12-29,2,Individual,Email only
305,Brenda Thompson,SE,Uppsala,60-74,2022-12-17,1,Corporate,Full
306,Dennis George,FI,Uusimaa,60-74,2022-12-02,1,Individual,Full
307,Ms Chelsea Page,SE,Stockholm,45-59,2025-10-02,1,Individual,Full
308,Eileen Brookes,FI,Pirkanmaa,75+,2023-03-30,3,Individual,Full
309,Dennis Patel,SE,Uppsala,75+,2023-09-28,2,Individual,Full
310,Charlene Martin,SE,Stockholm,60-74,2022-12-23,4,Individual,Full
311,Miss Tina Jackson,,Pirkanmaa,30-44,2025-02-07,7,Individual,Full
312,Timothy King,SE,Uppsala,30-44,2025-08-01,1,Individual,Full
313,Dr Gemma Murray,SE,Västra Götaland,30-44,2023-08-16,2,Individual,Full
314,Ms Carly Thomas,FI,Pohjois-Pohjanmaa,60-74,2023-08-21,5,Individual,Email only
315,Jake Rogers-Lowe,SE,Västra Götaland,60-74,2022-01-31,6,Individual,Full
316,Harry Ahmed-Henderson,FI,Pirkanmaa,18-29,2023-07-04,1,Individual,Email only
317,Harry Peacock,FI,Uusimaa,45-59,2024-03-08,3,Individual,Post only
318,Mr Liam Page,DK,Sjælland,18-29,2023-12-12,1,Individual,Email only
319,Mr Maurice Clarke,FI,Pohjois-Pohjanmaa,45-59,2023-04-29,1,Individual,Full
320,Dr Dennis Morrison,NO,Vestland,45-59,2023-12-25,4,Individual,Full
321,Ashleigh Daniels,NO,Trøndelag,45-59,2024-08-28,2,Individual,Full
